"chr"	"start"	"end"	"strand"	"pvalue"	"qvalue"	"meth.diff"
"68780"	"PGA_scaffold29__63_contigs__length_7458616"	4125716	4125716	"+"	8.58114202161668e-17	9.88135784695953e-15	28.740545294635
"68788"	"PGA_scaffold29__63_contigs__length_7458616"	4126713	4126713	"+"	3.87703656390028e-09	9.86445212402144e-08	-25.2425601304525
"68794"	"PGA_scaffold29__63_contigs__length_7458616"	4128240	4128240	"+"	3.72399223089534e-13	2.26256012969803e-11	26.2924595700461
"68796"	"PGA_scaffold29__63_contigs__length_7458616"	4128278	4128278	"+"	6.47105277967707e-12	3.0774290906119e-10	25.8488083997127
"68808"	"PGA_scaffold29__63_contigs__length_7458616"	4135658	4135658	"+"	7.46179640540662e-11	2.78008472860438e-09	26.3527492639453
"68899"	"PGA_scaffold29__63_contigs__length_7458616"	4315999	4315999	"+"	2.71704859192859e-21	6.09648591548258e-19	-29.2033464444028
"69041"	"PGA_scaffold29__63_contigs__length_7458616"	4366224	4366224	"+"	3.05079527060202e-15	2.66075518174021e-13	26.4728132387707
"69262"	"PGA_scaffold29__63_contigs__length_7458616"	4450255	4450255	"+"	4.60510926352277e-09	1.15010085770356e-07	-34.6798134011875
"69393"	"PGA_scaffold29__63_contigs__length_7458616"	4786448	4786448	"+"	2.69725874633084e-07	4.29205220184448e-06	25.7667458310989
"69466"	"PGA_scaffold29__63_contigs__length_7458616"	5018018	5018018	"+"	1.41914867365559e-20	2.88715878123809e-18	42.1684946095925
"69738"	"PGA_scaffold29__63_contigs__length_7458616"	5313387	5313387	"+"	2.00360172009468e-14	1.53636124813749e-12	-29.1765696177461
"69745"	"PGA_scaffold29__63_contigs__length_7458616"	5313530	5313530	"+"	7.33462898163313e-19	1.18080938436166e-16	28.0023959269242
"69746"	"PGA_scaffold29__63_contigs__length_7458616"	5313541	5313541	"+"	2.24004724939302e-24	8.04872678795559e-22	33.4307131372149
"69762"	"PGA_scaffold29__63_contigs__length_7458616"	5317832	5317832	"+"	2.77227824473091e-23	8.50493116986845e-21	-29.6266392640438
"69764"	"PGA_scaffold29__63_contigs__length_7458616"	5317871	5317871	"+"	9.14550235710002e-22	2.16848734057335e-19	-29.1223295408038
"69801"	"PGA_scaffold29__63_contigs__length_7458616"	5699720	5699720	"+"	9.22229013570475e-27	4.44697961499331e-24	37.7887317455199
"69802"	"PGA_scaffold29__63_contigs__length_7458616"	5699732	5699732	"+"	1.17782301240298e-15	1.12186695691422e-13	27.1418263619193
"69804"	"PGA_scaffold29__63_contigs__length_7458616"	5699741	5699741	"+"	5.13984433873219e-27	2.61681748399292e-24	31.3860731769172
"69807"	"PGA_scaffold29__63_contigs__length_7458616"	5699756	5699756	"+"	1.94294679234489e-20	3.88967104712219e-18	29.5982677434748
"69946"	"PGA_scaffold29__63_contigs__length_7458616"	6741954	6741954	"+"	8.258208815752e-33	9.00300985047286e-30	-43.3093790307721
"70051"	"PGA_scaffold29__63_contigs__length_7458616"	7031347	7031347	"+"	1.23821437381049e-07	2.14935422877651e-06	-27.7278481012658
"70120"	"PGA_scaffold29__63_contigs__length_7458616"	7111112	7111112	"+"	1.8082707977371e-11	7.73740899381829e-10	27.8408638138497
"70121"	"PGA_scaffold29__63_contigs__length_7458616"	7111117	7111117	"+"	6.58042421611053e-11	2.48026856956218e-09	29.9219644902635
"70178"	"PGA_scaffold29__63_contigs__length_7458616"	7153125	7153125	"+"	8.12232673867655e-18	1.11290749543336e-15	33.4958483939963
"70197"	"PGA_scaffold29__63_contigs__length_7458616"	7156547	7156547	"+"	4.59145691548307e-14	3.28701791139408e-12	27.0428446669013
"70291"	"PGA_scaffold29__63_contigs__length_7458616"	7189180	7189180	"+"	1.82833606246628e-10	6.26502769999391e-09	-27.4546055796056
"70295"	"PGA_scaffold29__63_contigs__length_7458616"	7189548	7189548	"+"	1.76323248179602e-12	9.37686323668396e-11	-30.6846576711644
"70412"	"PGA_scaffold29__63_contigs__length_7458616"	7310602	7310602	"+"	1.68668845785614e-08	3.66725501296083e-07	-26.5549402506558
"70495"	"PGA_scaffold29__63_contigs__length_7458616"	7390478	7390478	"+"	9.11072839359851e-20	1.66444882840643e-17	-25.266626510293
"70577"	"PGA_scaffold2__216_contigs__length_42616187"	450181	450181	"+"	1.82969230109886e-08	3.95247443448048e-07	29.5883570819632
"70898"	"PGA_scaffold2__216_contigs__length_42616187"	4888034	4888034	"+"	5.65436773762904e-09	1.38524280794822e-07	-28.6233403214535
"70904"	"PGA_scaffold2__216_contigs__length_42616187"	4913522	4913522	"+"	1.06422376618564e-10	3.8436759476601e-09	26.2260792167334
"70965"	"PGA_scaffold2__216_contigs__length_42616187"	6311867	6311867	"+"	1.00768871440255e-18	1.60972594630935e-16	30.0055185734488
"71210"	"PGA_scaffold2__216_contigs__length_42616187"	7842942	7842942	"+"	6.14573877953465e-27	3.06667485322271e-24	29.9004586512848
"71260"	"PGA_scaffold2__216_contigs__length_42616187"	8968192	8968192	"+"	1.79444503993131e-35	2.57111684568984e-32	-31.6179893476171
"71508"	"PGA_scaffold2__216_contigs__length_42616187"	11314185	11314185	"+"	5.62151884204219e-17	6.75238019905447e-15	25.2804947308639
"71537"	"PGA_scaffold2__216_contigs__length_42616187"	11616828	11616828	"+"	1.66299914271838e-15	1.53586092942974e-13	-27.0347664131616
"71690"	"PGA_scaffold2__216_contigs__length_42616187"	12014149	12014149	"+"	9.66093744484107e-15	7.79538975313187e-13	-28.2783018867924
"71823"	"PGA_scaffold2__216_contigs__length_42616187"	12441861	12441861	"+"	5.56049903368978e-23	1.63000115243778e-20	-33.9654547650682
"71956"	"PGA_scaffold2__216_contigs__length_42616187"	12927249	12927249	"+"	4.31027261613346e-19	7.19316396180741e-17	-29.3634695257413
"72158"	"PGA_scaffold2__216_contigs__length_42616187"	13770576	13770576	"+"	3.79912557599181e-28	2.36672318568622e-25	28.5967130214918
"72260"	"PGA_scaffold2__216_contigs__length_42616187"	14242412	14242412	"+"	1.34031353028894e-16	1.50201081215877e-14	27.3920914305655
"72280"	"PGA_scaffold2__216_contigs__length_42616187"	14248118	14248118	"+"	8.65980454645246e-17	9.96050361819343e-15	-26.6008453308678
"72510"	"PGA_scaffold2__216_contigs__length_42616187"	14900101	14900101	"+"	2.13821579934585e-18	3.25428670641223e-16	-32.5750111957009
"72606"	"PGA_scaffold2__216_contigs__length_42616187"	14943365	14943365	"+"	3.03776993372346e-11	1.23753224380362e-09	26.0655386592418
"72677"	"PGA_scaffold2__216_contigs__length_42616187"	15014151	15014151	"+"	2.98077200305598e-16	3.15030235977691e-14	26.7637698606625
"72708"	"PGA_scaffold2__216_contigs__length_42616187"	15026741	15026741	"+"	1.70379079708458e-08	3.70042862658107e-07	-27.1641015650367
"72712"	"PGA_scaffold2__216_contigs__length_42616187"	15027063	15027063	"+"	7.25108048366809e-13	4.16531815005696e-11	27.1119770605103
"73072"	"PGA_scaffold2__216_contigs__length_42616187"	15448124	15448124	"+"	2.17642796446216e-22	5.68463736761706e-20	-32.0910138248848
"73095"	"PGA_scaffold2__216_contigs__length_42616187"	16090139	16090139	"+"	4.59540833433007e-33	5.23758552771525e-30	-51.4779320497647
"73109"	"PGA_scaffold2__216_contigs__length_42616187"	17467110	17467110	"+"	8.12205604311313e-18	1.11290749543336e-15	31.6833795604864
"73579"	"PGA_scaffold2__216_contigs__length_42616187"	19513953	19513953	"+"	3.1181668154158e-06	3.63490270676869e-05	25.5403936722618
"73996"	"PGA_scaffold2__216_contigs__length_42616187"	20436391	20436391	"+"	3.83021055654304e-20	7.33130106392017e-18	-25.9842680908424
"74173"	"PGA_scaffold2__216_contigs__length_42616187"	20992894	20992894	"+"	2.03233252647332e-23	6.35008338168688e-21	-33.5693944844125
"74174"	"PGA_scaffold2__216_contigs__length_42616187"	20992986	20992986	"+"	1.83036431499553e-18	2.82431983449605e-16	-26.1428533125989
"74578"	"PGA_scaffold2__216_contigs__length_42616187"	21878558	21878558	"+"	1.01119823780498e-14	8.13969167111323e-13	29.8131464798131
"75150"	"PGA_scaffold2__216_contigs__length_42616187"	25737285	25737285	"+"	8.71562946855344e-13	4.90822577357638e-11	-25.931951616326
"75153"	"PGA_scaffold2__216_contigs__length_42616187"	25737330	25737330	"+"	5.3711655358939e-18	7.63050934732921e-16	-34.1442353819093
"75260"	"PGA_scaffold2__216_contigs__length_42616187"	25975009	25975009	"+"	3.44991150805323e-17	4.31442853400067e-15	-29.8993916311364
"75333"	"PGA_scaffold2__216_contigs__length_42616187"	27682146	27682146	"+"	1.07808090437815e-21	2.52637187043597e-19	27.1690682036503
"75556"	"PGA_scaffold2__216_contigs__length_42616187"	28352366	28352366	"+"	1.06999938642974e-12	5.9297595598602e-11	32.8172648369693
"75582"	"PGA_scaffold2__216_contigs__length_42616187"	28366912	28366912	"+"	8.47643308751117e-09	1.98451035060587e-07	30.6360593017695
"75615"	"PGA_scaffold2__216_contigs__length_42616187"	28439346	28439346	"+"	6.45694436763993e-09	1.55976579505682e-07	28.2396402184388
"75659"	"PGA_scaffold2__216_contigs__length_42616187"	28793266	28793266	"+"	3.56178329094632e-12	1.78887139627642e-10	37.3850574712644
"75856"	"PGA_scaffold2__216_contigs__length_42616187"	29294659	29294659	"+"	1.01651069236823e-10	3.6832869806303e-09	-27.3314144736842
"75895"	"PGA_scaffold2__216_contigs__length_42616187"	29307058	29307058	"+"	3.42042261675206e-19	5.76570603666079e-17	-33.6498174130309
"76078"	"PGA_scaffold2__216_contigs__length_42616187"	34552359	34552359	"+"	2.20576775463834e-24	7.95801365849842e-22	28.818299017935
"76183"	"PGA_scaffold2__216_contigs__length_42616187"	36155737	36155737	"+"	3.08116977574218e-16	3.23934308086681e-14	32.9747991864033
"76362"	"PGA_scaffold2__216_contigs__length_42616187"	38169704	38169704	"+"	4.73660685919843e-12	2.31289859755391e-10	25.7446943300602
"76417"	"PGA_scaffold2__216_contigs__length_42616187"	39233674	39233674	"+"	3.59384821081811e-11	1.44296895940875e-09	-29.418446160836
"76421"	"PGA_scaffold2__216_contigs__length_42616187"	39233927	39233927	"+"	7.41076017451853e-17	8.67304559475167e-15	-27.0768727816178
"76422"	"PGA_scaffold2__216_contigs__length_42616187"	39233939	39233939	"+"	2.94419681288548e-15	2.5835109126548e-13	-25.4599696246474
"76476"	"PGA_scaffold2__216_contigs__length_42616187"	39472702	39472702	"+"	6.11869931313895e-12	2.92497861557825e-10	29.029064010717
"76623"	"PGA_scaffold2__216_contigs__length_42616187"	42418263	42418263	"+"	1.69118243930246e-08	3.67543246848872e-07	27.5423728813559
"76640"	"PGA_scaffold2__216_contigs__length_42616187"	42420130	42420130	"+"	1.75624212852391e-14	1.36020483673623e-12	-27.6173766861016
"76645"	"PGA_scaffold2__216_contigs__length_42616187"	42420361	42420361	"+"	1.31216143606371e-09	3.71769451183951e-08	25.8675716074819
"76761"	"PGA_scaffold2__216_contigs__length_42616187"	42508458	42508458	"+"	1.28142305557829e-17	1.69332550661429e-15	-30.1258029978587
"76850"	"PGA_scaffold30__53_contigs__length_3533588"	173635	173635	"+"	5.74262920568087e-07	8.31606701842907e-06	-29.8862642169729
"76852"	"PGA_scaffold30__53_contigs__length_3533588"	173641	173641	"+"	1.79888118474782e-05	0.000164785015076566	-25.0598086124402
"76901"	"PGA_scaffold30__53_contigs__length_3533588"	248121	248121	"+"	6.66193688286583e-19	1.07944260942239e-16	-36.4615091463415
"76907"	"PGA_scaffold30__53_contigs__length_3533588"	283979	283979	"+"	3.78421827029477e-13	2.29472351168581e-11	-28.874908217075
"76965"	"PGA_scaffold30__53_contigs__length_3533588"	367319	367319	"+"	3.53911834213155e-20	6.78708187968588e-18	-32.8733114275283
"77232"	"PGA_scaffold30__53_contigs__length_3533588"	2026574	2026574	"+"	5.40405621779355e-18	7.66637637812017e-16	-30.7595023243096
"77234"	"PGA_scaffold30__53_contigs__length_3533588"	2026581	2026581	"+"	7.56612639030311e-34	9.7290107126794e-31	-40.49722896125
"77244"	"PGA_scaffold30__53_contigs__length_3533588"	2026714	2026714	"+"	3.48822993915999e-10	1.12967519403863e-08	-28.998766252254
"77246"	"PGA_scaffold30__53_contigs__length_3533588"	2040866	2040866	"+"	6.69395279531006e-09	1.6104247736594e-07	25.6674082313682
"77252"	"PGA_scaffold30__53_contigs__length_3533588"	2041226	2041226	"+"	8.16568767372103e-08	1.49125505440448e-06	-25.1394135635906
"77272"	"PGA_scaffold30__53_contigs__length_3533588"	2075784	2075784	"+"	2.15056835543122e-19	3.7447295705068e-17	26.4273918695759
"77372"	"PGA_scaffold30__53_contigs__length_3533588"	2249700	2249700	"+"	1.96274096680193e-26	8.86746953936873e-24	31.4390321553645
"77374"	"PGA_scaffold30__53_contigs__length_3533588"	2249710	2249710	"+"	2.01922281242444e-14	1.54479638646327e-12	28.6895986895987
"77378"	"PGA_scaffold30__53_contigs__length_3533588"	2250176	2250176	"+"	2.80685148571408e-28	1.75949948465045e-25	-28.5421785421785
"77449"	"PGA_scaffold30__53_contigs__length_3533588"	2258377	2258377	"+"	2.2198598191859e-23	6.91447755273123e-21	-27.8408434430965
"77466"	"PGA_scaffold30__53_contigs__length_3533588"	2270734	2270734	"+"	7.68876891483997e-16	7.61267090251728e-14	31.9039520570133
"77472"	"PGA_scaffold30__53_contigs__length_3533588"	2273009	2273009	"+"	1.90252784921712e-09	5.19800066442523e-08	25.4568436258577
"77474"	"PGA_scaffold30__53_contigs__length_3533588"	2274121	2274121	"+"	6.22338405698277e-09	1.5087968703452e-07	26.5401690689047
"77537"	"PGA_scaffold30__53_contigs__length_3533588"	2330040	2330040	"+"	3.49239181800398e-20	6.71030331873076e-18	26.9006321932242
"77650"	"PGA_scaffold30__53_contigs__length_3533588"	2437784	2437784	"+"	4.84650529131702e-20	9.15427305813893e-18	-35.6903659123282
"77823"	"PGA_scaffold30__53_contigs__length_3533588"	2546862	2546862	"+"	1.25444831059544e-17	1.65986687408433e-15	-42.9694293932704
"77831"	"PGA_scaffold30__53_contigs__length_3533588"	2548840	2548840	"+"	1.37388827413125e-21	3.18238862209966e-19	-37.6920957246116
"77837"	"PGA_scaffold30__53_contigs__length_3533588"	2549192	2549192	"+"	4.88518793055788e-10	1.52829590668892e-08	26.736223061943
"77947"	"PGA_scaffold30__53_contigs__length_3533588"	2636544	2636544	"+"	1.89338137594845e-20	3.79802473732154e-18	-33.5423197492163
"78036"	"PGA_scaffold30__53_contigs__length_3533588"	2651507	2651507	"+"	6.0009365759762e-20	1.12081631355963e-17	26.7052095508432
"78107"	"PGA_scaffold30__53_contigs__length_3533588"	2780184	2780184	"+"	1.05988476813218e-13	7.13447589433714e-12	27.0918605737782
"78111"	"PGA_scaffold30__53_contigs__length_3533588"	2780230	2780230	"+"	1.3366104358329e-22	3.63302322296348e-20	31.5454474456382
"78131"	"PGA_scaffold30__53_contigs__length_3533588"	2780721	2780721	"+"	1.17718540371972e-25	5.00290847742975e-23	32.7263444520082
"78224"	"PGA_scaffold30__53_contigs__length_3533588"	2807368	2807368	"+"	9.47627530761631e-13	5.30086900906913e-11	-27.7483907972723
"78236"	"PGA_scaffold30__53_contigs__length_3533588"	2808293	2808293	"+"	1.49043284063676e-12	8.04123425564454e-11	32.9269688644689
"78284"	"PGA_scaffold30__53_contigs__length_3533588"	2823750	2823750	"+"	1.24144371184489e-12	6.79288497328563e-11	39.9523729946524
"78364"	"PGA_scaffold30__53_contigs__length_3533588"	2849625	2849625	"+"	8.53572387946825e-16	8.40148132204464e-14	-25.3029947611228
"78463"	"PGA_scaffold30__53_contigs__length_3533588"	2870926	2870926	"+"	1.31485560472611e-29	9.91553412345893e-27	-27.1369938507948
"78472"	"PGA_scaffold30__53_contigs__length_3533588"	2872825	2872825	"+"	9.19999545481978e-43	2.97656664936109e-39	-44.3441367870359
"78762"	"PGA_scaffold30__53_contigs__length_3533588"	2960198	2960198	"+"	8.91578226314779e-26	3.82149494009914e-23	-38.0962035582138
"78810"	"PGA_scaffold30__53_contigs__length_3533588"	3000796	3000796	"+"	4.17459523460105e-11	1.65690963573378e-09	-25.724373907979
"78834"	"PGA_scaffold30__53_contigs__length_3533588"	3008684	3008684	"+"	2.09528385818037e-15	1.8864589919502e-13	-26.405324657374
"78870"	"PGA_scaffold30__53_contigs__length_3533588"	3036659	3036659	"+"	1.74525587925683e-18	2.70966925813797e-16	32.1248733796262
"78904"	"PGA_scaffold30__53_contigs__length_3533588"	3046716	3046716	"+"	3.15266669771135e-14	2.33017159605807e-12	-27.3593437116465
"78905"	"PGA_scaffold30__53_contigs__length_3533588"	3046719	3046719	"+"	6.28779621127306e-28	3.77634513248967e-25	41.3880597014925
"78934"	"PGA_scaffold30__53_contigs__length_3533588"	3106513	3106513	"+"	2.36805682241784e-17	3.03333271914019e-15	-26.7230576441103
"78989"	"PGA_scaffold30__53_contigs__length_3533588"	3111885	3111885	"+"	1.2334903134324e-15	1.1638370305386e-13	-28.7697437697438
"79315"	"PGA_scaffold30__53_contigs__length_3533588"	3391410	3391410	"+"	9.56277656960356e-15	7.74109495843127e-13	-30.201372182126
"79347"	"PGA_scaffold30__53_contigs__length_3533588"	3448287	3448287	"+"	4.16798891055953e-34	5.56067294354577e-31	-39.8627443190847
"79394"	"PGA_scaffold30__53_contigs__length_3533588"	3455413	3455413	"+"	4.98731312886607e-08	9.57531699773909e-07	-26.8690759795225
"79423"	"PGA_scaffold30__53_contigs__length_3533588"	3457573	3457573	"+"	6.70574404941728e-15	5.54274895641432e-13	25.3710575139147
"79479"	"PGA_scaffold31__35_contigs__length_1951197"	114763	114763	"+"	1.34230874836669e-20	2.74755271187557e-18	28.3571963316489
"79493"	"PGA_scaffold31__35_contigs__length_1951197"	119530	119530	"+"	9.14419351513004e-16	8.92158435418908e-14	27.7127944325482
"79540"	"PGA_scaffold31__35_contigs__length_1951197"	206295	206295	"+"	1.23785085424441e-10	4.40103606061364e-09	26.1368725318569
"79769"	"PGA_scaffold31__35_contigs__length_1951197"	374731	374731	"+"	2.97398112198053e-20	5.7583510849385e-18	-45.4693274205469
"79772"	"PGA_scaffold31__35_contigs__length_1951197"	374809	374809	"+"	3.64008881596809e-29	2.53535735220907e-26	-46.068852413448
"79808"	"PGA_scaffold31__35_contigs__length_1951197"	380907	380907	"+"	1.01220064096024e-22	2.78904111693254e-20	-37.403274763798
"79809"	"PGA_scaffold31__35_contigs__length_1951197"	380936	380936	"+"	6.62860018303935e-16	6.62182660140032e-14	-29.584427991402
"79812"	"PGA_scaffold31__35_contigs__length_1951197"	380980	380980	"+"	2.20257748951346e-12	1.15178730133488e-10	27.5232466212401
"79867"	"PGA_scaffold31__35_contigs__length_1951197"	429667	429667	"+"	8.68495340955262e-10	2.57639243179527e-08	-30.6179298985054
"79884"	"PGA_scaffold31__35_contigs__length_1951197"	431115	431115	"+"	5.31523727845433e-09	1.30951731979305e-07	25.3886462882096
"79977"	"PGA_scaffold31__35_contigs__length_1951197"	462079	462079	"+"	2.49448135378472e-17	3.18307893399236e-15	-30.2380952380952
"79979"	"PGA_scaffold31__35_contigs__length_1951197"	462100	462100	"+"	2.76402138250375e-16	2.93981091598403e-14	-26.9500500207157
"79987"	"PGA_scaffold31__35_contigs__length_1951197"	465714	465714	"+"	9.1298631969634e-11	3.33953894201113e-09	26.9233075493194
"80003"	"PGA_scaffold31__35_contigs__length_1951197"	486773	486773	"+"	4.02503392650657e-17	4.97781077685773e-15	-27.8920159617592
"80016"	"PGA_scaffold31__35_contigs__length_1951197"	502518	502518	"+"	5.29957800906198e-20	9.99123903794226e-18	-39.9125800266485
"80025"	"PGA_scaffold31__35_contigs__length_1951197"	503889	503889	"+"	1.31647285886484e-33	1.63010876831843e-30	-31.5157622498194
"80029"	"PGA_scaffold31__35_contigs__length_1951197"	504778	504778	"+"	7.37697057242913e-18	1.01633378859491e-15	39.7509578544061
"80055"	"PGA_scaffold31__35_contigs__length_1951197"	510169	510169	"+"	1.7767162838641e-15	1.63037539787633e-13	31.7407294568245
"80059"	"PGA_scaffold31__35_contigs__length_1951197"	510228	510228	"+"	2.66749761201708e-10	8.839799483364e-09	31.1174868702587
"80060"	"PGA_scaffold31__35_contigs__length_1951197"	510246	510246	"+"	9.83185393964847e-08	1.75902502149689e-06	26.410905147932
"80198"	"PGA_scaffold31__35_contigs__length_1951197"	857163	857163	"+"	5.69118829247101e-11	2.18116702957578e-09	-26.6543829858979
"80207"	"PGA_scaffold31__35_contigs__length_1951197"	874634	874634	"+"	7.44215205434056e-19	1.19619956975051e-16	27.4137485614975
"80280"	"PGA_scaffold31__35_contigs__length_1951197"	1000478	1000478	"+"	4.68212249060107e-37	8.38579877154424e-34	43.5744161728825
"80287"	"PGA_scaffold31__35_contigs__length_1951197"	1001321	1001321	"+"	5.22694821173876e-13	3.09657021081529e-11	27.9119180992853
"80429"	"PGA_scaffold31__35_contigs__length_1951197"	1031920	1031920	"+"	1.1417766906241e-22	3.13745857708057e-20	39.2097516972891
"80430"	"PGA_scaffold31__35_contigs__length_1951197"	1031986	1031986	"+"	2.56080130357371e-08	5.3176340168059e-07	-32.1013467806408
"80491"	"PGA_scaffold31__35_contigs__length_1951197"	1057239	1057239	"+"	5.78337793442845e-23	1.68369271889573e-20	38.2991452991453
"80495"	"PGA_scaffold31__35_contigs__length_1951197"	1057420	1057420	"+"	9.53158222765925e-16	9.24557982429276e-14	27.1267460347
"80517"	"PGA_scaffold31__35_contigs__length_1951197"	1058131	1058131	"+"	1.84086087048895e-25	7.6611438385726e-23	26.7723548272177
"80544"	"PGA_scaffold31__35_contigs__length_1951197"	1059464	1059464	"+"	4.68268717614935e-11	1.83389835103893e-09	25.6614027891715
"80566"	"PGA_scaffold31__35_contigs__length_1951197"	1177054	1177054	"+"	1.68329533585991e-20	3.40383371814654e-18	44.0294310619552
"80740"	"PGA_scaffold31__35_contigs__length_1951197"	1285132	1285132	"+"	9.59780044483621e-16	9.30081612671405e-14	-27.6393628681815
"80741"	"PGA_scaffold31__35_contigs__length_1951197"	1285135	1285135	"+"	4.14368356521255e-12	2.05460921530621e-10	-25.1215858342741
"80742"	"PGA_scaffold31__35_contigs__length_1951197"	1285144	1285144	"+"	8.41352973864792e-17	9.69948496095543e-15	-31.2712760683478
"80830"	"PGA_scaffold31__35_contigs__length_1951197"	1287230	1287230	"+"	1.82246856101599e-14	1.40606819703964e-12	-25.0236742424242
"80833"	"PGA_scaffold31__35_contigs__length_1951197"	1287274	1287274	"+"	7.68332093586985e-26	3.35050932294362e-23	-26.6007078507078
"80867"	"PGA_scaffold31__35_contigs__length_1951197"	1288653	1288653	"+"	2.27179329617995e-24	8.10871779798012e-22	-38.7896974243561
"80910"	"PGA_scaffold31__35_contigs__length_1951197"	1293757	1293757	"+"	4.39775818581643e-25	1.74979287015834e-22	-37.3116760828625
"80911"	"PGA_scaffold31__35_contigs__length_1951197"	1293770	1293770	"+"	7.71808841704713e-13	4.41085032697514e-11	-25.5735049273276
"80992"	"PGA_scaffold31__35_contigs__length_1951197"	1297611	1297611	"+"	1.12705312378891e-12	6.20079553108367e-11	32.3777288881367
"81056"	"PGA_scaffold31__35_contigs__length_1951197"	1318872	1318872	"+"	9.25145208222817e-15	7.50118534722452e-13	-30.0175953079179
"81101"	"PGA_scaffold31__35_contigs__length_1951197"	1476749	1476749	"+"	4.2665418398678e-14	3.07195312827357e-12	-26.40649598144
"81102"	"PGA_scaffold31__35_contigs__length_1951197"	1476762	1476762	"+"	1.37351471739435e-13	9.01570422551978e-12	-28.6920251261784
"81118"	"PGA_scaffold31__35_contigs__length_1951197"	1477026	1477026	"+"	1.28505943743251e-41	3.64888308552744e-38	-59.8732563371831
"81161"	"PGA_scaffold31__35_contigs__length_1951197"	1507709	1507709	"+"	3.46983759487766e-16	3.59520354553747e-14	29.189694474966
"81211"	"PGA_scaffold31__35_contigs__length_1951197"	1608949	1608949	"+"	4.11022560006761e-22	1.02804228854661e-19	-31.2739216591113
"81354"	"PGA_scaffold31__35_contigs__length_1951197"	1728388	1728388	"+"	2.28042655125026e-12	1.18816032828682e-10	-25.9565802870562
"81608"	"PGA_scaffold32__48_contigs__length_8091588"	312671	312671	"+"	2.80022182031605e-14	2.0896947865699e-12	-27.6282238849643
"82187"	"PGA_scaffold32__48_contigs__length_8091588"	929425	929425	"+"	2.62665237995446e-13	1.63428297162519e-11	27.3928413610252
"82356"	"PGA_scaffold32__48_contigs__length_8091588"	984205	984205	"+"	3.40483338993959e-19	5.74909007072438e-17	37.6278768147589
"82390"	"PGA_scaffold32__48_contigs__length_8091588"	995952	995952	"+"	8.90768646934779e-23	2.49558052760171e-20	41.0821072615093
"82411"	"PGA_scaffold32__48_contigs__length_8091588"	996889	996889	"+"	4.03650031835997e-23	1.20491221232074e-20	-31.5692172714169
"82514"	"PGA_scaffold32__48_contigs__length_8091588"	1170357	1170357	"+"	4.25280894791553e-11	1.68528525229446e-09	-34.9307555189908
"82519"	"PGA_scaffold32__48_contigs__length_8091588"	1273423	1273423	"+"	4.2588214984006e-61	6.10212486515775e-57	-45.2356483706117
"82569"	"PGA_scaffold32__48_contigs__length_8091588"	1277365	1277365	"+"	1.58172048968788e-26	7.24394790105983e-24	55.0920180603596
"82629"	"PGA_scaffold32__48_contigs__length_8091588"	1661855	1661855	"+"	5.73212296692955e-85	5.74917053223411e-80	63.2575757575758
"82635"	"PGA_scaffold32__48_contigs__length_8091588"	1662318	1662318	"+"	4.19286765738259e-28	2.5799616044199e-25	29.8294455927223
"82814"	"PGA_scaffold32__48_contigs__length_8091588"	1901487	1901487	"+"	1.8804028627438e-24	6.83331614794735e-22	-30.3842151377032
"82834"	"PGA_scaffold32__48_contigs__length_8091588"	1910766	1910766	"+"	1.65124894721275e-07	2.77227959206375e-06	26.473897389739
"82884"	"PGA_scaffold32__48_contigs__length_8091588"	1943395	1943395	"+"	2.32952102505639e-30	1.91512222516964e-27	40.1904761904762
"82916"	"PGA_scaffold32__48_contigs__length_8091588"	1988028	1988028	"+"	4.5272261901388e-11	1.78136145301942e-09	25.1910480349345
"83011"	"PGA_scaffold32__48_contigs__length_8091588"	2061946	2061946	"+"	1.96593105510688e-19	3.44716400960895e-17	35.5057149660674
"83076"	"PGA_scaffold32__48_contigs__length_8091588"	2187524	2187524	"+"	2.96213941841466e-16	3.13391238473356e-14	-28.5383309073265
"83134"	"PGA_scaffold32__48_contigs__length_8091588"	2295042	2295042	"+"	9.830607992112e-50	5.79990859851576e-46	-41.7256260135785
"83221"	"PGA_scaffold32__48_contigs__length_8091588"	2303573	2303573	"+"	2.68390465699924e-27	1.43185462653709e-24	-37.039229469582
"83331"	"PGA_scaffold32__48_contigs__length_8091588"	2318089	2318089	"+"	5.71916943325101e-15	4.76426783573342e-13	29.9311391223156
"83599"	"PGA_scaffold32__48_contigs__length_8091588"	2560368	2560368	"+"	3.58245936174184e-16	3.7080637158199e-14	31.1013602457218
"83600"	"PGA_scaffold32__48_contigs__length_8091588"	2560907	2560907	"+"	6.64125380497978e-17	7.86423277701211e-15	30.2881029119928
"83696"	"PGA_scaffold32__48_contigs__length_8091588"	2606856	2606856	"+"	9.86564957111531e-25	3.73395864586863e-22	31.4666503857149
"83803"	"PGA_scaffold32__48_contigs__length_8091588"	2735444	2735444	"+"	1.15215216666685e-13	7.69359995846947e-12	25.142805125054
"83837"	"PGA_scaffold32__48_contigs__length_8091588"	2737264	2737264	"+"	1.64346687752639e-18	2.55558854949279e-16	-28.3014834765508
"83843"	"PGA_scaffold32__48_contigs__length_8091588"	2737524	2737524	"+"	6.94077032080821e-24	2.30510346098591e-21	-38.0314251008973
"83867"	"PGA_scaffold32__48_contigs__length_8091588"	2739764	2739764	"+"	3.95231639063668e-14	2.86007989846463e-12	26.2393162393162
